0,1,2,3,4,5,6,TotalTime,AverageTime,Errors
2687,,,,516,1218,,11109,1587,4
1969,1343,,,,1219,,8891,1270.142857,4
1406,,,1751,,1094,,10126,1446.571429,4
7216,2243,,,735,1762,,18966,2709.428571,3
2480,1895,,,745,1438,1425,11807,1686.714286,2
1875,1408,1101,,,1259,,10009,1429.857143,3
1900,,,,1734,,,17410,2487.142857,5
2886,3300,,,952,,,16812,2401.714286,4
2606,2860,,,1320,,1573,14457,2065.285714,3
1754,,,822,587,1283,,9268,1324,3
830,1088,,,481,1027,1245,7575,1082.142857,2
956,1465,,,,961,,8816,1259.428571,4
2048,1924,,1057,293,1559,1659,10949,1564.142857,1
1772,,,,,1140,1491,11006,1572.285714,4
3843,,,1162,,1126,1470,12466,1780.857143,3
8884,,,,855,,,23680,3382.857143,5
9818,,1907,1921,1054,1825,2527,24068,3438.285714,1
3708,,,,1020,,2634,17870,2552.857143,4
3891,,1204,,547,1157,,16610,2372.857143,3
892,957,922,1021,,,,7798,1114,3
938,,781,719,,875,953,7048,1006.857143,2
5223,1194,,593,,,,11998,1714,4
1242,1195,,712,,,,6524,932,4
1042,1327,,708,307,727,757,6075,867.8571429,1
3782,1406,,907,2234,,,12282,1754.571429,3
2047,1204,,828,453,,1016,8188,1169.714286,2
1672,1000,875,,329,1203,890,7344,1049.142857,1
5884,1958,1484,1365,804,1537,1800,16117,2302.428571,0
7713,1421,1492,1262,1003,1501,1648,17489,2498.428571,0
1818,2717,1681,1344,1026,1688,1789,13364,1909.142857,0
3040,1596,1208,1020,466,1229,1357,10831,1547.285714,0
1285,1634,1186,1184,518,1064,1471,9355,1336.428571,0
2132,1302,914,900,488,854,1358,8841,1263,0
6265,3094,3516,1375,1078,1657,2250,20422,2917.428571,0
2328,2047,1375,1250,688,1219,1812,11610,1658.571429,0
2974,4097,1110,1422,563,1378,1719,14232,2033.142857,0
4156,2234,1438,1672,750,1688,2518,15878,2268.285714,0
1594,2031,1344,1344,812,1563,2109,12157,1736.714286,0
4188,2266,969,1126,593,1188,1406,12752,1821.714286,0
12875,1016,812,688,359,813,1062,18329,2618.428571,0
1750,891,797,484,282,765,875,6501,928.7142857,0
1828,797,610,625,437,766,843,6563,937.5714286,0
