0,1,2,3,4,5,6,TotalTime,AverageTime,Errors
4719,,,1593,844,2407,2328,17673,2524.714286,2
4251,,1672,,750,,,16861,2408.714286,4
3156,,1360,,,1422,,13907,1986.714286,4
2125,,,,234,969,,7360,1051.428571,4
3641,1250,625,,312,844,922,9204,1314.857143,1
2657,828,625,766,,860,1062,8001,1143,1
18354,1699,871,766,,996,1140,25013,3573.285714,1
2086,1411,,668,496,959,840,8289,1184.142857,1
4119,,788,1080,,907,,15962,2280.285714,3
3377,1469,,712,428,922,,9609,1372.714286,2
3627,,,683,555,825,,10149,1449.857143,3
2139,,,496,584,,909,6998,999.7142857,3
5657,,,,376,845,,12325,1760.714286,4
3790,1266,818,742,,,,9482,1354.571429,3
3774,1121,849,736,292,,810,9224,1317.714286,1
3444,,1140,1005,773,1276,1492,12637,1805.285714,1
2405,,1274,1494,952,983,1649,12163,1737.571429,1
2231,1847,1355,,,1861,,13451,1921.571429,3
5282,1328,,640,,953,797,10954,1564.857143,2
2422,765,688,703,391,859,750,7047,1006.714286,0
2252,704,640,532,375,688,703,6269,895.5714286,0
3000,1870,1424,,697,,,13899,1985.571429,3
1549,2384,1477,,,1949,,13270,1895.714286,3
872,,1185,,,1936,1448,10164,1452,3
7850,1579,820,728,639,1019,1243,14710,2101.428571,0
1831,1492,1035,1043,637,998,1132,8964,1280.571429,0
2211,1830,,,526,1131,1221,9373,1339,2
3083,,,,1072,1710,,14773,2110.428571,4
2907,2064,,1703,697,2085,,14667,2095.285714,2
2816,,,,772,1898,,13645,1949.285714,4
4620,,,,714,1590,,16349,2335.571429,4
2499,,,,901,,,13530,1932.857143,5
10919,1575,,1230,,1471,1507,21884,3126.285714,2
2906,,,,741,1186,,14306,2043.714286,4
1811,,,,556,1178,1438,10811,1544.428571,3
1691,,,834,,,,9552,1364.571429,5
4520,2171,,,,1268,,14859,2122.714286,4
3815,1168,,,635,1418,,12436,1776.571429,3
13686,1581,,,884,1426,,23666,3380.857143,3
4818,1282,886,,,966,,11064,1580.571429,3
19003,,1118,,375,878,,25401,3628.714286,3
1471,1174,,,,854,,6829,975.5714286,4
1202,2625,,,1133,1830,,14957,2136.714286,3
929,,,,951,,,14428,2061.142857,5
1162,2660,,,832,,,12981,1854.428571,4
2273,,1401,,,1050,1192,10629,1518.428571,3
1545,,1238,1043,658,1428,1192,9470,1352.857143,1
2078,,1103,1035,622,1058,1147,9489,1355.571429,1
7569,3173,2302,,,1872,,22243,3177.571429,3
3362,3020,,,,,,16901,2414.428571,5
3943,2672,,,818,2240,,19091,2727.285714,3
2535,1170,,869,462,,,10890,1555.714286,3
3235,1222,1003,779,400,1203,1137,9898,1414,0
2985,,,948,384,985,1031,9288,1326.857143,2
368,,,1016,485,1185,1462,8534,1219.142857,2
2869,1101,,1047,,1249,1457,10714,1530.571429,2
4270,1099,962,,584,964,1387,10973,1567.571429,1
2456,1669,,1134,,,,11708,1672.571429,4
6186,,1304,,416,1285,,16682,2383.142857,3
2319,1970,,,,1371,1337,10868,1552.571429,3
3454,1189,,727,,,,11392,1627.428571,4
2233,1560,811,,510,1021,,9366,1338,2
3647,1057,938,712,472,1071,895,9872,1410.285714,0
3125,,,,594,1469,,12207,1743.857143,4
2157,,,,500,1219,1172,10126,1446.571429,3
2847,,,799,531,1189,,10699,1528.428571,3
3804,2234,1357,1126,511,1602,1561,13620,1945.714286,0
4495,1739,1267,1056,623,1651,1349,13262,1894.571429,0
4496,2292,1044,921,624,1274,1170,13037,1862.428571,0
